City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
296,Cooma,AU,-36.2333,149.1333,40.77,100,100,2.3,overcast clouds
297,Cangzhou,CN,38.3167,116.8667,77.23,77,100,3.47,overcast clouds
298,Ketchikan,US,55.3422,-131.6461,64.87,72,100,12.66,overcast clouds
299,Gilgit,PK,35.9221,74.3087,82.2,64,55,4.21,broken clouds
300,Mitsamiouli,KM,-11.3847,43.2844,76.33,72,10,8.08,clear sky
301,Desaguadero,PE,-16.5656,-69.0417,55.24,34,59,12.64,broken clouds
302,Mezen,RU,65.8522,44.24,47.12,87,5,4.5,clear sky
303,Belmonte,BR,-15.8631,-38.8828,71.73,78,32,7.52,scattered clouds
304,Faanui,PF,-16.4833,-151.75,76.55,81,17,9.51,moderate rain
305,Victor Harbor,AU,-35.5667,138.6167,47.68,73,12,12.37,few clouds
306,Slobodskoy,RU,58.7322,50.1772,62.73,96,75,5.28,broken clouds
307,Jasper,US,37.2001,-94.3502,104.11,32,40,17.27,scattered clouds
308,Serpa,PT,37.9458,-7.5975,82.81,30,0,14.92,clear sky
309,Nizwa,OM,22.9333,57.5333,86.5,62,100,3.36,light rain
310,Mareeba,AU,-17.0,145.4333,63.32,97,0,2.24,clear sky
311,General Roca,AR,-39.0333,-67.5833,44.74,92,100,10.02,overcast clouds
312,Wajir,KE,1.7471,40.0573,75.85,54,34,22.7,scattered clouds
313,Oranjestad,AW,12.524,-70.027,85.95,66,20,21.85,few clouds
314,Ormara,PK,25.2088,64.6357,81.64,87,100,11.72,moderate rain
315,Sobolevo,RU,54.4299,31.8996,57.72,95,7,5.99,clear sky
316,Flinders,AU,-34.5833,150.8552,57.38,90,97,4.0,light rain
317,Lamu,KE,-2.2717,40.902,73.62,79,41,18.52,scattered clouds
318,Gat,IL,31.61,34.7642,79.81,70,0,1.74,clear sky
319,Zhanaozen,KZ,43.3,52.8,71.64,53,0,9.1,clear sky
320,Gwanda,ZW,-20.9333,29.0,51.21,95,21,5.55,few clouds
321,Rouvroy,FR,50.3925,2.904,64.56,70,1,11.34,clear sky
322,Kloulklubed,PW,7.0419,134.2556,75.7,75,40,8.39,scattered clouds
323,Kalmunai,LK,7.4167,81.8167,79.88,81,100,4.03,overcast clouds
324,Alofi,NU,-19.0595,-169.9187,76.89,57,75,12.66,broken clouds
325,Gallipoli,TR,40.4103,26.6708,73.26,69,2,14.05,clear sky
326,Camapua,BR,-19.5314,-54.0439,84.02,24,0,6.42,clear sky
327,Flin Flon,CA,54.7682,-101.865,74.61,33,100,10.02,overcast clouds
328,Zharkent,KZ,44.1628,80.0,72.59,27,0,4.05,clear sky
329,Diffa,NE,13.3154,12.6113,92.34,36,20,8.01,few clouds
330,Port Lincoln,AU,-34.7333,135.8667,51.55,70,10,9.64,clear sky
331,Tres Lagoas,BR,-20.7511,-51.6783,81.43,27,4,3.91,clear sky
332,Straumen,NO,63.8709,11.2999,60.8,95,98,6.17,light rain
333,Acapulco,MX,16.8634,-99.8901,85.82,70,75,6.91,broken clouds
334,Brae,GB,60.3964,-1.353,50.5,78,100,22.79,overcast clouds
335,Mincivan,AZ,39.0294,46.7185,71.38,76,87,1.23,overcast clouds
336,Buluang,PH,13.3068,123.3425,77.4,91,96,3.11,overcast clouds
337,Pontianak,ID,-0.0333,109.3333,75.18,100,75,3.44,broken clouds
338,Kulhudhuffushi,MV,6.6221,73.07,81.57,79,100,15.61,overcast clouds
339,Abilene,US,32.4487,-99.7331,102.88,20,0,13.8,clear sky
340,Homer,US,59.6425,-151.5483,59.81,78,100,14.0,overcast clouds
341,Korla,CN,41.7597,86.1469,80.2,29,23,7.74,few clouds
342,Aksu,CN,41.1231,80.2644,82.29,22,10,2.42,clear sky
343,Opuwo,NA,-18.0607,13.84,63.21,34,16,4.74,few clouds
344,Hokitika,NZ,-42.7167,170.9667,48.81,78,81,6.29,broken clouds
345,Saint-Joseph,RE,-21.3667,55.6167,64.78,79,41,8.81,scattered clouds
